20.23,16.75,6.99,32.41,43.12,29.12,8.24,168.17,4.03,72.15,1003.1,21.2
19.56,14.14,8.1,33.18,45.59,30.28,11.91,169.74,3.5,81.74,1003.5,21.2
28.94,19.77,13.9,40.59,61.9,20.39,11.68,167.65,2.42,89.38,1001.3,21.2
26.55,16.57,8.3,32.68,45.4,24.25,12.71,175.73,3.95,83.31,996.07,21.2
22.98,16.45,12.41,35.64,54.46,22.78,12.41,167.95,3.87,84.46,996.12,21.2
22.29,13.44,4.17,24.68,31.08,31.11,13.95,170.32,4.85,78.56,993.77,21.2
16.11,8.16,1.48,12.94,15.21,34.56,12.62,170.98,5.32,87.9,991.41,21.2
20.02,12.81,2.85,7.51,11.88,7.69,1.07,124.31,6.02,77.26,1007.1,21.2
16.4,11.96,4.02,8.9,15.06,6.93,2.51,316.5,5.81,76.29,1000.4,21.2
21.92,9.12,9.52,15.29,29.88,5.97,1.08,265.42,1.91,81.62,1003.3,21.2
43.27,12.2,40.62,21.12,83.4,4.69,4.77,160.86,1.83,90.19,1007.5,21.2
28.8,17.23,11.89,18.31,36.55,6.17,10.35,162.5,4.4,87.19,998.72,21.2
21.81,16.57,7.59,12.48,24.12,7.08,11.31,149.08,5.34,80.26,992.65,21.2
13.63,17.53,6.05,11.14,20.41,7.37,11.86,149.05,5.33,78.86,990.45,21.2
13.46,13.29,5.94,10.9,20.01,6.7,7.45,202.52,3.64,94.77,992.3,21.2
14.12,12.16,5.18,10.84,18.78,6.41,5.08,256.5,2.26,89.05,1000.2,21.2
22.96,14.02,12.2,35.77,52.65,25.83,5.75,158.58,2.82,88.68,1000.5,21.2
27.48,12.36,5.43,23.97,32.29,39.27,9.49,166.43,4.91,89.99,987.95,21.2
20.81,17.18,2.85,20.91,25.28,27.9,4.04,172,1.71,80.75,1014.5,21.2
40.78,23.51,28.77,41.45,85.56,9.63,3.33,171.48,1.28,88.23,1011,21.2
35.7,23.69,34.79,44.31,97.65,8.07,5.52,175.95,1.18,94.64,1006,21.2
34.19,20.34,26.16,44.01,84.12,13.06,5.64,181.15,1.24,88.71,1006.9,21.2
26.44,14,4.48,32.98,39.85,29.99,11.35,174.69,4.22,79.88,1000.5,21.2
17.93,12.07,3.11,20.74,25.52,35.66,12.27,173.95,5.64,79.3,997.12,21.2
18.64,8.42,1.01,10.8,12.3,47.58,12.12,172.45,6.88,75.4,992.63,21.2
19.03,22.43,0.99,11.95,12.96,47.46,5.69,35,5.06,82.5,1000.1,21.2
16.08,41.68,1.98,15.27,17.84,36.53,5.95,19.83,5.82,89.68,997,21.2
19,38.41,1.11,14.38,15.62,40.97,5.08,34.12,4.27,86.2,993.14,21.2
36.93,20.86,2.26,17.6,21.06,22.6,22.55,81.91,2.23,77.14,1000.6,21.2
31.95,5.42,1.67,10.75,13.3,25.21,23.26,82.79,2.28,73.54,994.29,21.2
21.69,17.63,0.99,10.37,11.89,28.26,21.92,25.84,5.63,75.46,989.82,21.2
24.18,20.02,0.6,11.25,11.88,33.77,22.43,100.5,4.91,63.64,992.36,21.2
28.73,19.71,2.17,16.58,19.98,27.37,21.64,65.74,3,67.02,992.54,21.2
17.77,9.65,1.88,13.03,17.44,26.34,22.12,77.01,2.31,69.26,987.02,21.2
15.46,7.63,1.26,8.77,12.24,26.98,23.72,94.4,2.62,71.25,988.27,21.2
15.21,16.37,2.25,16.43,21.41,22.22,22.06,183.27,4.58,74.09,994.63,21.2
18.47,22.2,1.65,15.44,19.49,28.27,22.99,146.17,4.59,69.26,997.95,21.2
15.86,19.75,0.67,14.59,17.15,19.26,17.52,144.05,3.29,81.93,998.73,21.2
15.54,26.39,1.09,15.04,18.24,27.62,19.32,34.57,4.53,71.96,997.9,21.2
17.64,32.83,0.96,13.57,16.57,28.36,21.43,43.35,4.61,82.1,993.35,21.2
21.02,19.73,1.31,17,20.77,24.6,20.27,117.57,3.08,83.97,987.38,21.2
26.32,25.45,4.36,20.48,28.69,23.24,24.12,107.1,2.04,66.75,994.68,21.2
29.86,12.25,6.62,17.08,28.76,20.71,22.97,61.42,2.03,76.62,993.07,21.2
18.68,13.74,1.2,15.25,18.62,20.88,22.44,88.38,2.37,81.6,992.08,21.2
24.83,19.93,5.7,18.9,29.18,19.11,23.13,80.37,2.83,79.25,994.9,21.2
23.11,16.25,3.51,23.27,30.18,26.7,23.73,283.29,2.56,67.56,988.64,21.2
17.17,11.63,2.53,21.56,26.97,28.92,23.82,241.29,3.19,60.99,988.97,21.2
24.75,24.41,2.46,17.27,22.58,26.08,23.82,150.68,4.44,79.18,995.79,21.2
29.67,32.08,1.17,14.89,18.22,31.51,24.85,55.34,5,75.85,995.59,21.2
31.95,21.27,0.8,13.72,16.48,33.61,24.55,57.09,3.92,75.04,996.45,21.2
34.22,46.79,1.72,20.86,25.02,32.15,25.08,39.92,3.68,70.91,996.82,21.2
29.31,38.56,1.38,15.47,19.11,27.3,24.95,48.75,5.2,80.26,997.85,21.2
23.59,44.77,1.49,17.63,21.45,30.01,23.97,48.58,4.63,71.46,1001.4,21.2
23.22,54.14,2.1,21.48,26.24,29.49,23.25,60.45,3.88,62.35,1000.6,21.2
16.19,17.84,1.88,16.78,21.2,28.1,21.68,123.47,3.46,68.02,999.86,21.2
16.66,23.14,1.63,16.1,20.13,28.76,21.56,93.33,3.24,70.56,997.85,21.2
28.38,31.19,2.22,18.43,23.36,28.62,23.99,99.22,3.92,76.87,993.82,21.2
28.45,18.67,2.65,19.66,25.25,28,24.77,82.07,3.29,76.89,993.31,21.2
31.59,20.18,1.98,13.3,17.86,29.37,25.14,133.53,4.3,75.06,994.32,21.2
21.17,12.22,0.97,8.65,11.67,31.21,25.58,91.82,4.83,74.53,996.37,21.2
16.06,3.68,0.86,7.53,10.38,32.17,23.85,36.54,4.13,72.75,995.66,21.2
17.72,3.46,0.84,8.07,10.9,30.01,23.76,46.35,4.25,79.13,996.71,21.2
22.2,3.51,0.93,7.44,10.39,33.42,24.12,63.13,4.07,78.89,994.33,21.2
20.06,3.22,0.98,9.44,12.47,29.76,23.76,64.76,2.66,76.5,992.98,21.2
19.52,13.51,2.05,16.66,21.33,25.06,24.34,140.39,4.08,79.43,992.11,21.2
23.88,19.95,1.8,17.65,21.94,29.6,23.73,182.98,4.44,65.36,995.17,21.2
29.38,13.68,1.52,14.96,18.83,31.36,23.44,185.4,4.09,70.99,997.1,21.2
30.93,26.12,2.05,20.83,25.51,27.37,24.14,74.76,3.35,74.63,998.28,21.2
33.33,35.98,2.05,20,24.68,34.33,24.63,77.06,3.63,65.19,998.01,21.2
30.66,21.65,1.2,13.95,17.33,32,25.11,28.5,4.19,72.28,997.89,21.2
36.67,13.1,1.67,11.64,15.73,26.83,24.42,69.26,3.37,79.8,995.33,21.2
24.73,13.87,4.26,24.76,32.83,25.38,21.23,239.25,2.27,73.36,991.56,21.2
22.14,33.39,2.61,22.22,27.76,22.67,19.85,133.04,4.17,85.26,997.53,21.2
11.98,11.28,1.99,20.03,24.6,31,20.36,255.14,2.64,81.03,996.6,21.2
25.35,39.42,6.41,30.64,42,27.48,21.89,183.75,1.9,69.08,999.05,21.2
22.12,18.26,2.91,21.69,27.68,26.25,21.73,154,2.44,75.98,1001.8,21.2
28.7,53.38,2.63,20.96,26.52,26.6,20.62,46.98,3.8,76.2,1005,21.2
29.27,73.13,2.51,26.87,32.26,25.13,18.64,55.87,3.82,71.78,1004.6,21.2
26.76,61.1,3.32,26.49,33.12,26.27,18.84,69.4,3.91,73.69,1003.6,21.2
16.18,27.9,3.58,23.61,30.64,27.73,18.59,139.64,3.15,77.41,1001.8,21.2
31.98,15.46,4.12,22.78,30.63,24.94,19.89,133.32,1.94,81.2,999.84,21.2
24.98,10.84,2.76,15.89,21.66,23.81,14.57,300.72,6.19,69.22,1005.1,21.2
18.36,51.49,1.59,20.3,24.26,26.89,15.25,39.98,4.43,73.91,1003.5,21.2
4.57,34.12,2.8,19.4,25.24,23.21,16.97,94.94,4.96,94.03,1004.3,21.2
8.91,29.7,2.28,16.88,21.91,24.95,16.38,190.12,5.53,84.91,1005.3,21.2
8.65,9.18,2.19,11.51,16.37,22.53,15.63,229.78,4.64,91.16,1004.8,21.2
7.78,29.56,3.08,22.27,29,22.75,15.75,122.7,3.64,89.68,1003.9,21.2
13.82,45.83,2.71,24.84,30.52,21.2,15.84,111.78,3.15,90.24,1004,21.2
13.64,21.59,3.32,17.83,24.47,25.92,16.29,171.29,4.13,89.68,1001.9,21.2
9.9,28.67,1.73,15.55,19.74,32.64,14.94,39.58,3.54,84.19,1009.2,21.2
7.27,33.07,1.42,15.9,19.61,32.58,15.2,30.68,4.55,77.56,1008.2,21.2
9.55,26.88,1.32,16.06,19.77,32.75,14.6,34.77,3.72,79.82,1005.1,21.2
7.17,22.18,3.16,18.72,25.09,23.69,13.7,137.13,3.04,85.19,1004,21.2
