57.48,39.43,52.73,73.05,14.76,189.39,4.16,80.78,991.84
22.24,9.79,31.72,44.38,4.76,77.44,2.15,69.1,998.67
91.22,92.92,78.16,73.46,10.83,180.82,2.47,81.11,992.69
38.14,38.33,49.62,58.31,8.36,246.65,2.75,82.63,989.33
60.02,26.6,100.53,51.26,7.55,175.5,1.46,80.39,997.27
89.78,47.05,89.04,64.36,11.99,153.55,1.28,85.15,997.71
85.75,72.06,116.85,46.84,12.47,174.54,1.28,88.87,990.49
102.51,64.65,111.15,47.9,12.66,169.36,1.23,86.87,990.49
103.75,52.35,76.45,65.18,13.94,165.88,1.69,81.97,988.16
30.45,7.42,28.45,53,1.65,28.27,2.84,85.1,1005.8
28.04,6.38,25.9,57.15,1.21,34.96,2.82,78.32,1001.5
29.22,22.48,33.28,50.05,2.75,63.07,3.17,77.89,994.57
40.04,43.85,53.13,33.64,1.39,271.99,1.7,82.61,997.25
85.61,31.92,86.96,56.83,10.27,181.45,1.86,87.5,993.08
47.63,31.13,64.04,62,10.94,188.38,3.21,85.52,987.24
47.88,24.07,88.82,24.98,4.83,184.16,1.7,97.22,994.88
84.43,59.15,91.38,54.22,9.49,167.95,1.86,93.04,982.38
19.96,35.46,34.99,46.38,5.35,299.46,3.43,86.36,976.2
83.93,71.64,91.01,69.8,7.92,181.3,1.76,80.77,989.99
20.98,12.17,38.82,34.46,5.53,132.62,1.57,98.79,986.6
13,7.42,47.2,33.64,4.67,65.61,2.5,99.96,979.54
22.33,4.75,23.92,65.33,1.13,35.68,3.01,85.12,994.74
24.41,4.05,22.09,68.6,0.15,41.03,3.46,78.65,1005.4
18.06,9.76,27.67,68.05,0.86,59.28,2.64,78.13,1006
16.99,1.92,29.06,53.25,1.94,42.61,1.95,65.45,1003.6
29.37,4.38,42.77,37.33,2.74,55.77,1.18,75.52,1007.4
27.38,4.08,68.21,32.63,3.89,94.35,1.05,82.12,1008.7
113.18,70.38,78.83,62.53,11.53,167.48,1.28,82.41,994.89
85.66,59.39,54.72,63.96,12.24,155.34,1.51,83.52,991.45
46.91,24.29,27.61,69.81,11.6,137.89,2,81.04,987.18
21.29,2.87,22,46.73,5.07,94.57,1.44,85,997.84
20.45,1.89,24.58,37.35,5.17,84.61,1.31,86.22,999.35
32.44,2.71,31.85,22.71,6.92,117.23,1.14,93.7,998.32
62.68,35.03,90.76,15.72,9.43,176.36,1.59,95.93,989.68
27.73,5.69,21.99,45.34,7.04,83.68,1.85,87.7,987.74
9.36,4.73,13.33,58.68,4.39,38.67,3.04,99.94,979.33
