57.48,39.43,52.73,73.05,14.76,189.39,4.16,80.78,991.84,25.99,23.17,5.09,21.26,29.06,41.17,15.06,110.17,1.65,72.68,992.85,23.6,15.88,7.54,1.96,13.8,16.8,42.42,15.29,149.11,6.7,74.02,997.08,21.2,70.33,22.76,45.66,43.34,113.2,758.04,16.54,174.04,1.65,69.71,1011.8,54
22.24,9.79,31.72,44.38,4.76,77.44,2.15,69.1,998.67,26.88,23.25,7.96,25.03,37.24,26.69,5.12,219.53,1.69,68.49,999.64,23.6,17.88,18.68,4.59,19.23,26.26,30.43,4.98,210.55,3.91,71.98,1004.5,21.2,103.79,58.07,90.51,58.02,196.49,1301.5,6.22,57.5,1.72,66.53,1018.9,54
91.22,92.92,78.16,73.46,10.83,180.82,2.47,81.11,992.69,33.52,36.05,9.65,38.27,53.07,32.45,11.09,140.3,1.35,74.54,994,23.6,20.37,13.07,2.98,26.67,31.24,35.56,11.16,159.41,4.64,76.17,998.34,21.2,122.7,71.94,130.85,58.26,258.45,2504.9,13.08,191.8,1.71,68.06,1012.9,54
38.14,38.33,49.62,58.31,8.36,246.65,2.75,82.63,989.33,18.44,20.75,7.26,25.06,36.2,38.03,9.05,222.14,1.8,70.02,990.45,23.6,13.72,7.86,3.2,16.54,21.44,40.41,9.07,211.46,5.7,71.92,995.15,21.2,57.06,42.25,54.06,32.51,115.22,667.15,10.68,201.79,1.95,71.05,1009.5,54
60.02,26.6,100.53,51.26,7.55,175.5,1.46,80.39,997.27,43.48,58.88,21.09,48.43,80.76,25.59,8.51,173.37,1.44,67.05,998.74,23.6,20.23,16.75,6.99,32.41,43.12,29.12,8.24,168.17,4.03,72.15,1003.1,21.2,88.1,67.57,77.39,49.4,167.81,1234.7,10,226.77,1.02,74.1,1017.7,54
89.78,47.05,89.04,64.36,11.99,153.55,1.28,85.15,997.71,28.17,43.11,15.95,46.76,71.21,25.64,11.77,168.34,1.25,80.31,999.1,23.6,19.56,14.14,8.1,33.18,45.59,30.28,11.91,169.74,3.5,81.74,1003.5,21.2,86.88,54.84,83.24,62.62,190.41,1151,13.51,223.12,0.98,82.56,1017.7,54
85.75,72.06,116.85,46.84,12.47,174.54,1.28,88.87,990.49,36.46,50.66,15.01,43.2,66.21,20.46,12.63,167.95,1.23,81.57,991.82,23.6,26.55,16.57,8.3,32.68,45.4,24.25,12.71,175.73,3.95,83.31,996.07,21.2,69.18,25.15,57.31,51.87,139.55,728.3,13.52,204.58,1,85.16,1010.4,54
102.51,64.65,111.15,47.9,12.66,169.36,1.23,86.87,990.49,35.94,44.12,17.72,44.91,72.08,20.16,12.46,151.05,1.03,82.36,991.88,23.6,22.98,16.45,12.41,35.64,54.46,22.78,12.41,167.95,3.87,84.46,996.12,21.2,114.88,41.01,86.49,67.23,199.57,1404,13.66,210.45,0.94,84.41,1010.4,54
103.75,52.35,76.45,65.18,13.94,165.88,1.69,81.97,988.16,28.33,36.47,8.18,33.8,46.34,29.46,13.8,165.92,1.6,77.15,989.53,23.6,22.29,13.44,4.17,24.68,31.08,31.11,13.95,170.32,4.85,78.56,993.77,21.2,119.28,31.64,90.37,64.9,203.18,1034.9,15.09,186.74,1.43,76.41,1008.1,54
30.45,7.42,28.45,53,1.65,28.27,2.84,85.1,1005.8,32.02,42.07,7.48,27.78,39.25,27.21,1.67,239.69,1.91,78.36,1006.6,23.6,24.12,14.19,3.66,8.75,14.36,7.35,1.62,217.74,5.72,81.01,1011.5,21.2,73.04,33.61,59.11,62.01,152.45,853.26,4.23,51.45,2.1,83.85,1026,54
28.04,6.38,25.9,57.15,1.21,34.96,2.82,78.32,1001.5,26.06,45.94,8.23,28.22,40.84,28.88,1.1,189.41,1.85,75.04,1002.2,23.6,20.02,12.81,2.85,7.51,11.88,7.69,1.07,124.31,6.02,77.26,1007.1,21.2,70.39,42.03,44.89,43.64,112.32,815.5,3.58,51.16,2.4,77.99,1021.7,54
29.22,22.48,33.28,50.05,2.75,63.07,3.17,77.89,994.57,17.37,12.96,7.43,22.63,34.02,29.5,2.4,301.81,2.25,74.33,995.55,23.6,16.4,11.96,4.02,8.9,15.06,6.93,2.51,316.5,5.81,76.29,1000.4,21.2,121.43,64.28,83.84,69.01,197.28,1397,4.12,53.97,2.59,80.1,1014.5,54
40.04,43.85,53.13,33.64,1.39,271.99,1.7,82.61,997.25,18.71,29.43,12.02,38.1,56.54,16.94,1.55,294.08,1.11,75.04,998.44,23.6,21.92,9.12,9.52,15.29,29.88,5.97,1.08,265.42,1.91,81.62,1003.3,21.2,92.09,45.12,90.96,68.73,207.9,1482,3.39,151.45,1.15,71.89,1017.8,54
85.61,31.92,86.96,56.83,10.27,181.45,1.86,87.5,993.08,18.37,55.79,16.77,46.2,71.91,22.18,10.09,133.97,1.12,83.05,994.5,23.6,28.8,17.23,11.89,18.31,36.55,6.17,10.35,162.5,4.4,87.19,998.72,21.2,110.97,57.48,117.11,70.32,249.51,1745.7,11.99,182.34,1.2,79.09,1013.3,54
47.63,31.13,64.04,62,10.94,188.38,3.21,85.52,987.24,14.52,30,9.41,33.38,47.82,32.88,11.05,109.44,1.19,78.97,988.33,23.6,21.81,16.57,7.59,12.48,24.12,7.08,11.31,149.08,5.34,80.26,992.65,21.2,80.81,37.77,76.44,68.8,185.75,1020.7,12.72,167.07,1.2,76.13,1007.3,54
47.88,24.07,88.82,24.98,4.83,184.16,1.7,97.22,994.88,36.51,39.74,29.2,51.18,95.95,10.27,6.05,143.01,1.13,84.09,995.97,23.6,22.96,14.02,12.2,35.77,52.65,25.83,5.75,158.58,2.82,88.68,1000.5,21.2,66.84,38.7,77.3,48.18,171.27,1230.5,7.56,183.71,0.78,84.13,1015.4,54
84.43,59.15,91.38,54.22,9.49,167.95,1.86,93.04,982.38,29.63,59.31,12.42,37.58,56.63,26.19,9.48,146.27,1.21,86.96,983.6,23.6,27.48,12.36,5.43,23.97,32.29,39.27,9.49,166.43,4.91,89.99,987.95,21.2,94.2,79.34,101.52,53.52,217.16,1873.2,10.7,193.24,1.37,86.43,1002.6,54
