25.99,23.17,5.09,21.26,29.06,41.17,15.06,110.17,1.65,72.68,992.85,23.6
26.88,23.25,7.96,25.03,37.24,26.69,5.12,219.53,1.69,68.49,999.64,23.6
33.52,36.05,9.65,38.27,53.07,32.45,11.09,140.3,1.35,74.54,994,23.6
18.44,20.75,7.26,25.06,36.2,38.03,9.05,222.14,1.8,70.02,990.45,23.6
43.48,58.88,21.09,48.43,80.76,25.59,8.51,173.37,1.44,67.05,998.74,23.6
28.17,43.11,15.95,46.76,71.21,25.64,11.77,168.34,1.25,80.31,999.1,23.6
36.46,50.66,15.01,43.2,66.21,20.46,12.63,167.95,1.23,81.57,991.82,23.6
35.94,44.12,17.72,44.91,72.08,20.16,12.46,151.05,1.03,82.36,991.88,23.6
28.33,36.47,8.18,33.8,46.34,29.46,13.8,165.92,1.6,77.15,989.53,23.6
32.02,42.07,7.48,27.78,39.25,27.21,1.67,239.69,1.91,78.36,1006.6,23.6
26.06,45.94,8.23,28.22,40.84,28.88,1.1,189.41,1.85,75.04,1002.2,23.6
17.37,12.96,7.43,22.63,34.02,29.5,2.4,301.81,2.25,74.33,995.55,23.6
18.71,29.43,12.02,38.1,56.54,16.94,1.55,294.08,1.11,75.04,998.44,23.6
18.37,55.79,16.77,46.2,71.91,22.18,10.09,133.97,1.12,83.05,994.5,23.6
14.52,30,9.41,33.38,47.82,32.88,11.05,109.44,1.19,78.97,988.33,23.6
36.51,39.74,29.2,51.18,95.95,10.27,6.05,143.01,1.13,84.09,995.97,23.6
29.63,59.31,12.42,37.58,56.63,26.19,9.48,146.27,1.21,86.96,983.6,23.6
17.35,25.18,6.78,27.01,37.4,35.59,5.74,273.07,2.89,76.16,977.44,23.6
32.03,52.37,10.54,41.3,57.46,27.07,7.86,123.05,0.86,75.21,991.22,23.6
18.28,28.86,13.77,38.76,59.88,23.29,6.41,129.68,1.4,91.69,987.51,23.6
19.68,16.26,10.33,30.62,46.46,11.45,5.28,244.08,1.85,91.89,980.6,23.6
19.49,16.31,5.85,23.7,32.66,43.43,1.34,266.4,1.91,77.57,995.59,23.6
26.4,39.7,12.38,20.86,39.84,50.72,0,257.58,2.03,74.41,1006.4,23.6
